Title,Subtitle,Author,Publisher,Publishing Date,Price,Rating,Review Count,Sales Index,Link
공여사들의 엑셀 혁명 with 챗GPT,암기 NO! 복잡 NO! 압도적 실용성 YES! 실무 엑셀 기본기+챗GPT 활용법,공여사들,한빛미디어,2025년 03월,"18,900",9.8,43,9333,https://www.yes24.com/product/goods/144073133
핸즈온 LLM,"프롬프트 엔지니어링부터 임베딩, 시맨틱 검색, 미세 튜닝까지, 손에 잡히는 LLM 개념","제이 알아마르, 마르턴 흐루턴도르스트/박해선 역",한빛미디어,2025년 06월,"34,200",9.7,21,6861,https://www.yes24.com/product/goods/146828240
이것이 C#이다,단계별 학습으로 탄탄한 기본기를 다져줄 C# 입문서,박상현,한빛미디어,2023년 05월,"32,400",9.1,28,4254,https://www.yes24.com/product/goods/118685906
코딩 자율학습 나도코딩의 C 언어 입문,C 언어의 완공을 돕는 프로그래밍 자습서,나도코딩,길벗,2022년 10월,"23,400",9.9,115,6744,https://www.yes24.com/product/goods/113791780
Llama.cpp 실전 가이드,,KR.UM,콩콩 컴퍼니,2025년 11월,"19,300",0.0,0,465,https://www.yes24.com/product/goods/167495694
핸즈온 바이브 코딩,요구사항 정의부터 리팩터링까지 직관이 아닌 원리로 익히는 실전 가이드,정도현,한빛미디어,2025년 10월,"19,800",9.6,30,3051,https://www.yes24.com/product/goods/160603535
후니의 쉽게 쓴 시스코 네트워킹,,진강훈 등저,성안당,2024년 08월,"38,700",9.4,7,4956,https://www.yes24.com/product/goods/113485068
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 Claude Code 에이전트 실전 훈련!","조훈, 정찬훈",길벗,2025년 09월,"23,400",8.9,18,7998,https://www.yes24.com/product/goods/152379887
AI 광고 제작,"비용 걱정 No, 하루 1시간에 완성! 숏폼 홍보 영상부터 브랜드 광고까지","문수민, 민지영, 전은재, 최종수, 앤미디어",길벗,2025년 09월,"24,300",9.9,38,2922,https://www.yes24.com/product/goods/151980353
테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,8단계 RAG 파이프라인으로 LLM 성능을 끌어올리는 RAG 기본부터 실제 챗봇 제작까지,이경록,리코멘드,2025년 05월,"30,600",10.0,1,7518,https://www.yes24.com/product/goods/146874665
챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템,엑셀 VBA와 AI로 시작하는 금융 프로그래밍,설근민,제이펍,2025년 08월,"22,500",10.0,6,2316,https://www.yes24.com/product/goods/151170115
회사에서 바로 통하는 파워포인트 FOR STARTERS,"왕초보가 시작하는 파워포인트 입문서, AI 도구 활용, 모든 버전 사용 가능",이화진,한빛미디어,2025년 12월,"15,300",10.0,19,1404,https://www.yes24.com/product/goods/167475617
생성형 AI 활용 백과사전,"ChatGPT, 코파일럿, 제미나이, 클로드, DALL-E 3, 딥엘, 미드저니, 스테이블 디퓨전, Suno AI, 소라 등 주요 생성형 AI를 효과적으로 사용하는 100가지 활용법!","다쿠치 카즈히로, 모리시마 료코, 이시타니 마사키/서수환 역",길벗,2025년 06월,"21,600",9.7,49,5745,https://www.yes24.com/product/goods/147626022
그림으로 이해하는 챗GPT 구조와 기술,,나카타니 슈요/박광수 역,길벗,2025년 11월,"21,600",9.9,17,1662,https://www.yes24.com/product/goods/162116171
AI 자동화의 끝판왕! n8n을 활용한 업무혁신,,"홍용기, 이후경, 홍정민",BOOKK(부크크),2025년 07월,"36,000",5.3,3,3051,https://www.yes24.com/product/goods/150317607
직장인을 위한 AI 실무 엑셀,[최신개정] AI로 실무 완벽 대응! 실전! 비즈니스 엑셀 완전 정복,선양미,길벗,2025년 12월,"22,500",0.0,0,972,https://www.yes24.com/product/goods/169704757
프로그램을 읽는 기술,,이와마츠 히로시/나민성 역,길벗,2025년 12월,"18,000",10.0,2,798,https://www.yes24.com/product/goods/169090563
요즘 우아한 AI 개발,"머신러닝에서 GPT, LLM, 생성형 AI, MLOps까지, 배달의민족 실제 프로젝트로 엿보는 AI 활용 이야기",우아한형제들,골든래빗,2025년 04월,"21,600",9.6,11,9726,https://www.yes24.com/product/goods/143753715
올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,로컬 LLM을 활용한 보안과 비용 걱정 없는 지능형 AI 에이전트 구축,"서영배, 김병규, 임재봉",위키북스,2026년 01월,"25,200",0.0,0,1272,https://www.yes24.com/product/goods/168727208
AI를 위한 필수 수학,"AI 시스템에 쓰이는 통계학, 선형 대수학, 미적분학",할라 넬슨/안민재 역,한빛미디어,2024년 08월,"40,500",9.5,12,3585,https://www.yes24.com/product/goods/130156635
도메인 주도 설계를 위한 함수형 프로그래밍,코틀린과 타입스크립트로 구현하는 실전 도메인 모델링,스콧 블라신/박주형 편역,제이펍,2025년 11월,"28,800",10.0,4,1791,https://www.yes24.com/product/goods/164512812
C언어로 쉽게 풀어쓴 자료구조,,"천인국, 공용해, 하상호",생능출판사,2019년 02월,"29,000",9.5,39,9390,https://www.yes24.com/product/goods/69750539
모두의 딥러닝,누구나 쉽게 이해하는 딥러닝,조태호,길벗,2025년 04월,"26,100",10.0,13,3774,https://www.yes24.com/product/goods/145612410
밑바닥부터 시작하는 딥러닝 3,파이썬으로 직접 구현하며 배우는 딥러닝 프레임워크,사이토 고키/개앞맵시 역,한빛미디어,2020년 11월,"34,200",9.7,31,3282,https://www.yes24.com/product/goods/95343845
그림으로 이해하는 네트워크 구조와 기술,"네트워크, 쉽고 재미있게 시작하자!",나카오 신지/김성훈 역,길벗,2023년 07월,"19,800",9.6,17,3216,https://www.yes24.com/product/goods/120241473
Do it! 플러터 앱 개발&출시하기,AI 시대에 통하는 ‘수익화 앱’을 만든다!,조준수,이지스퍼블리싱,2025년 07월,"32,400",10.0,5,2562,https://www.yes24.com/product/goods/147871988
교실에서 바로 쓰는 챗GPT 교사 활용법,프롬프트 활용법/생성형AI 활용 수업/개념기반 수업/평가 루브릭 만들기/학교 업무 활용/수업자료 만들기,유수근,앤써북,2025년 01월,"17,820",9.9,22,9816,https://www.yes24.com/product/goods/141310358
나만의 MCP 서버 만들기 with 커서 AI,"현직 AI Specialist에게 배우는 MCP! Cursor AI, Claude Desktop으로 MCP의 기본을 경험한다",서지영,길벗,2025년 07월,"21,600",9.8,17,6048,https://www.yes24.com/product/goods/150009569
모두의 인공지능 with 파이썬,"머신러닝, 딥러닝부터 생성형 AI까지 쉽게 배우는 인공지능 입문서!",이영호,길벗,2025년 07월,"27,000",10.0,14,2940,https://www.yes24.com/product/goods/149224228
